Treatment,cellsize
Co-lim,4.4
Co-lim,4.06
Co-lim,3.9
Co-lim,4.22
Co-lim,3.9
Co-lim,4.4
Co-lim,4.4
Co-lim,4.06
Co-lim,4.06
Co-lim,3.9
Co-lim,3.58
Co-lim,3.42
Co-lim,4.06
Co-lim,3.74
Co-lim,4.22
Co-lim,3.9
Co-lim,3.58
Co-lim,3.74
Co-lim,4.06
Co-lim,3.74
Co-lim,3.42
Co-lim,4.22
Co-lim,4.06
Co-lim,4.06
Co-lim,4.06
Co-lim,4.4
Co-lim,4.56
Co-lim,4.06
Co-lim,4.06
Co-lim,3.9
Co-lim,4.06
Co-lim,3.74
Co-lim,4.56
Co-lim,4.22
Co-lim,4.72
Co-lim,4.4
Co-lim,4.56
Co-lim,4.72
Co-lim,3.58
Co-lim,3.9
Co-lim,3.9
Co-lim,4.72
Co-lim,4.06
Co-lim,4.22
Co-lim,3.58
Co-lim,4.56
Co-lim,3.74
Co-lim,3.9
Co-lim,4.56
Co-lim,3.74
Co-lim,3.42
Co-lim,3.74
Co-lim,3.74
Co-lim,3.58
Co-lim,4.22
Co-lim,4.22
Co-lim,3.58
Co-lim,4.56
Co-lim,3.58
Co-lim,4.06
Co-lim,4.4
Co-lim,4.06
Co-lim,3.74
Co-lim,4.4
Co-lim,4.72
Co-lim,3.58
Fe-lim,4.22
Fe-lim,4.4
Fe-lim,4.88
Fe-lim,4.88
Fe-lim,4.06
Fe-lim,4.22
Fe-lim,5.04
Fe-lim,4.72
Fe-lim,4.56
Fe-lim,4.22
Fe-lim,4.56
Fe-lim,4.4
Fe-lim,4.4
Fe-lim,4.56
Fe-lim,4.06
Fe-lim,4.56
Fe-lim,4.56
Fe-lim,4.72
Fe-lim,5.04
Fe-lim,4.88
Fe-lim,4.56
Fe-lim,4.22
Fe-lim,5.36
Fe-lim,4.72
Fe-lim,5.52
Fe-lim,5.04
Fe-lim,5.36
Fe-lim,5.04
Fe-lim,5.36
Fe-lim,5.2
Fe-lim,5.36
Fe-lim,4.72
Fe-lim,4.56
Fe-lim,5.36
Fe-lim,4.72
Fe-lim,5.36
Fe-lim,4.88
Fe-lim,5.04
Fe-lim,5.2
Fe-lim,5.36
Fe-lim,4.56
Fe-lim,5.2
Fe-lim,4.88
Fe-lim,4.56
Fe-lim,5.2
Fe-lim,5.04
Fe-lim,5.2
Fe-lim,4.56
Fe-lim,4.88
Fe-lim,4.88
Fe-lim,4.56
Fe-lim,4.72
Fe-lim,4.06
Fe-lim,4.22
Fe-lim,4.06
Fe-lim,4.22
Fe-lim,4.56
Fe-lim,4.72
Fe-lim,4.4
Fe-lim,4.06
Fe-lim,5.04
Fe-lim,5.04
Fe-lim,4.22
Fe-lim,5.04
Fe-lim,4.56
P-lim,4.06
P-lim,4.22
P-lim,3.58
P-lim,4.4
P-lim,4.06
P-lim,4.56
P-lim,4.06
P-lim,4.4
P-lim,3.58
P-lim,4.4
P-lim,4.06
P-lim,3.9
P-lim,3.74
P-lim,3.42
P-lim,4.22
P-lim,4.06
P-lim,4.4
P-lim,4.22
P-lim,4.56
P-lim,4.22
P-lim,3.9
P-lim,3.74
P-lim,3.9
P-lim,4.56
P-lim,4.06
P-lim,3.9
P-lim,4.4
P-lim,4.4
P-lim,4.06
P-lim,3.58
P-lim,3.9
P-lim,4.22
P-lim,4.56
P-lim,4.06
P-lim,4.56
P-lim,3.26
P-lim,3.58
P-lim,4.4
P-lim,4.06
P-lim,4.22
P-lim,4.88
P-lim,4.22
P-lim,4.56
P-lim,4.4
P-lim,4.06
P-lim,4.22
P-lim,4.06
P-lim,4.06
P-lim,3.9
P-lim,4.4
P-lim,4.06
P-lim,3.9
P-lim,3.74
P-lim,4.06
P-lim,3.74
P-lim,3.9
P-lim,3.9
P-lim,4.4
P-lim,4.88
P-lim,4.22
P-lim,3.42
P-lim,4.06
P-lim,3.9
P-lim,3.74
P-lim,4.4
P-lim,3.9
Replete,5.2
Replete,4.56
Replete,5.36
Replete,5.36
Replete,5.04
Replete,5.86
Replete,5.86
Replete,6.02
Replete,6.02
Replete,4.56
Replete,5.36
Replete,5.86
Replete,5.36
Replete,4.22
Replete,5.36
Replete,4.88
Replete,5.04
Replete,5.86
Replete,5.36
Replete,6.02
Replete,4.88
Replete,5.2
Replete,4.4
Replete,4.72
Replete,5.04
Replete,5.04
Replete,4.22
Replete,4.88
Replete,4.4
Replete,4.22
Replete,5.52
Replete,4.06
Replete,5.7
Replete,4.56
Replete,6.34
Replete,5.2
Replete,5.04
Replete,4.88
Replete,4.06
Replete,4.56
Replete,4.56
Replete,5.2
Replete,5.52
Replete,4.72
Replete,4.88
Replete,5.2
Replete,5.52
Replete,5.04
Replete,4.56
Replete,4.56
Replete,4.56
Replete,4.4
Replete,4.56
Replete,4.88
Replete,4.4
Replete,6.02
Replete,5.7
Replete,4.22
Replete,4.72
Replete,5.36
Replete,4.88
Replete,4.72
Replete,5.04
Replete,4.56
Replete,5.52
Replete,4.4